City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,el granada,37.5027,-122.4694,59.41,78,100,9.22,US,1699935984
343,touros,-5.1989,-35.4608,79.39,79,76,11.63,BR,1699935979
344,kolonia,50.9333,6.95,54.12,75,75,14.97,DE,1699935855
345,nuevo ideal,24.8875,-105.0728,54.01,85,67,3.29,MX,1699935985
346,goshen,41.5823,-85.8344,42.39,75,0,0.0,US,1699935695
347,kimbe,-5.5502,150.1429,86.92,62,100,4.32,PG,1699935800
348,kavieng,-2.5744,150.7967,84.09,66,59,3.96,PG,1699935986
349,balsas,-7.5325,-46.0356,78.66,46,0,0.74,BR,1699935986
350,barkot,30.8167,78.2,66.54,31,100,0.74,IN,1699935987
351,moroni,-11.7022,43.2551,80.42,77,48,1.57,KM,1699935697
352,zouerate,22.7187,-12.4521,72.9,19,18,10.36,MR,1699935987
353,padang,-0.9492,100.3543,84.25,84,47,3.51,ID,1699935988
354,muang phonsavan,19.45,103.2167,73.51,62,60,3.65,LA,1699935988
355,abashiri,44.0213,144.2697,39.49,56,75,10.36,JP,1699935988
356,sayat,38.7839,63.8803,46.27,35,100,6.51,TM,1699935989
357,benito juarez,19.385,-99.165,64.0,70,75,11.5,MX,1699935989
358,kayyerkan,69.3786,87.7439,-8.41,92,46,4.72,RU,1699935990
359,linhares,-19.3911,-40.0722,72.34,91,30,3.42,BR,1699935990
360,paka,4.6374,103.4368,91.33,58,40,5.75,MY,1699935991
361,inhambane,-23.865,35.3833,73.38,60,75,16.11,MZ,1699935991
